ds,yhat,yhat_lower,yhat_upper
2023-07-01,23389.931233496667,17582.54674634389,29349.287429389904
2023-07-02,23418.475270699804,17776.87399325416,29019.159819018183
2023-07-03,23530.93826164954,18517.82431312827,29371.46196884991
2023-07-04,23507.62381327045,17955.65031008008,29251.9849697794
2023-07-05,23630.39111592401,18421.752727395404,29221.447805369957
2023-07-06,23629.303374314288,17317.39276429166,29657.86101277335
2023-07-07,23692.69470711214,18380.13568369215,29635.635680846248
2023-07-08,23776.84960585547,18281.824161388144,29512.444589184313
2023-07-09,23887.040294126433,18308.670165165608,29804.013896573088
2023-07-10,24077.40046196818,18709.61098313,29492.6235108451
2023-07-11,24127.439825775255,18488.52379693192,29734.353877910933
2023-07-12,24318.368372790872,18921.923617431494,29604.52076648594
2023-07-13,24379.75099307808,18680.12865845927,29956.430417998952
2023-07-14,24499.576118984096,18979.78809237006,30177.39969498068
2023-07-15,24633.93262092457,18508.064347231262,30098.525118943977
2023-07-16,24788.04058094298,19565.936446875592,30781.531040255228
2023-07-17,25016.114809054907,19274.4661591291,31088.547591813178
2023-07-18,25097.8660366017,19350.24894188928,30672.694180520717
2023-07-19,25314.809205560225,19698.117321239562,30964.350164789015
2023-07-20,25396.90017234929,19826.655757533154,31256.81699916036
2023-07-21,25532.585096510564,20039.28695741444,30969.495271877608
2023-07-22,25678.457426525456,20024.990956238584,30994.93909547729
2023-07-23,25840.26875927168,20097.753719406955,31527.199274548188
2023-07-24,26072.773064299676,20545.221963569078,31358.051746756017
2023-07-25,26156.209785371866,20610.565575877845,31725.983908396705
2023-07-26,26372.59575167453,20801.07753139551,32100.62203127898
2023-07-27,26452.347651500055,20463.603796597952,32020.81674498344
2023-07-28,26584.319682667367,20794.95813544712,32169.413607772243
2023-07-29,26725.451537340992,21012.817577608756,31903.8800479455
2023-07-30,26881.773140214857,20970.51451819788,32525.362862422087
2023-07-31,27108.24566975652,21332.048485416737,32968.837495770385
2023-08-01,27185.24431209766,21954.70823014158,33270.24754213069
2023-08-02,27394.85252159955,21881.5323223053,33193.25912072928
2023-08-03,27467.489295989122,21804.83312809718,33244.327184702655
2023-08-04,27591.953760531418,21528.641978924403,33151.14421265266
2023-08-05,27725.08183815266,22134.87990533137,33511.33981949068
2023-08-06,27872.760998403955,22215.9405257455,33633.85891970192
2023-08-07,28089.78216041399,22548.66333622715,33870.684234666965
2023-08-08,28156.333733745094,22709.66607084314,33704.910859368116
2023-08-09,28354.307111730173,23141.766137615636,33957.80227636958
2023-08-10,28413.9346886627,22612.15689886185,34283.81396154042
2023-08-11,28523.84429714037,22716.02078156752,33934.09756489303
2023-08-12,28640.724496429364,23173.6799655824,34265.46184728341
2023-08-13,28770.34642233867,22986.603166699846,34351.24959751612
2023-08-14,28967.421063935817,23367.713900883533,34607.56054389534
2023-08-15,29012.09681991995,23305.432663794014,34584.4781880927
2023-08-16,29186.266599901883,23293.79097948453,34465.941440416354
2023-08-17,29220.205574350293,23317.245647869957,34426.64116643067
2023-08-18,29302.623580520783,24023.26276374437,34989.5532161147
2023-08-19,29390.32679877752,23523.15012490423,34892.82446749557
2023-08-20,29489.234657158268,23851.1813060766,34895.95509556405
2023-08-21,29654.23112953963,24042.344858054403,35088.269845239956
2023-08-22,29665.655619924604,23935.299545497146,35024.58023989368
2023-08-23,29805.603062913877,24468.202321548062,35557.45521007389
2023-08-24,29804.554718697196,23945.004454304726,35408.231542762194
2023-08-25,29851.424038393423,24516.40695914408,35366.32981643394
2023-08-26,29903.212561096443,24457.57068877248,35621.31262324237
2023-08-27,29966.02211110914,24606.002314461315,35433.539963182826
2023-08-28,30094.902721673363,24959.649129855254,35445.720519250826
2023-08-29,30070.34167740128,24418.64327438428,35715.553308757255
2023-08-30,30174.563434717864,25029.809731666883,36294.352435265195
2023-08-31,30138.16195078721,24674.007393564916,35694.78654143604
2023-09-01,30150.149768129726,24876.531625379266,35862.64933068204
2023-09-02,30167.618706300495,24845.069968191427,35763.958635127725
2023-09-03,30196.7582402895,24430.003377502497,35762.39671529836
2023-09-04,30292.710729937953,25094.486543675543,36045.5035456497
2023-09-05,30236.06856594129,24630.76980417575,36212.68282018001
2023-09-06,30309.182611724962,24821.355076891447,36259.52961040826
2023-09-07,30242.803051825085,24745.834508846783,36285.54095282718
2023-09-08,30226.136549716553,24684.516796267664,35956.5766390016
2023-09-09,30216.51411457528,24135.942394847953,36083.4879425272
2023-09-10,30220.415314626393,24688.8544292337,36246.51694523458
2023-09-11,30293.32758698595,25010.028588337438,35796.71958716965
2023-09-12,30216.245340043635,24840.842289586686,35656.26546620354
2023-09-13,30271.977919160126,25049.515837495805,35620.58185213589
2023-09-14,30191.787313338376,24537.649049910302,35555.37781343044
2023-09-15,30165.439360631568,24359.13823033061,35918.73292373694
2023-09-16,30150.86280394919,24549.926408806245,36168.77394277814
2023-09-17,30155.16189092848,24900.239029114648,35740.94473030434
2023-09-18,30234.461430632975,24373.73834018706,35957.37998471338
2023-09-19,30170.38927227285,24448.42393374858,35944.44641848457
2023-09-20,30246.365647893155,24657.113872000482,36022.66771849516
2023-09-21,30194.220721946047,24773.152127808844,35801.27393744922
2023-09-22,30204.22465345927,24780.56758888987,35740.85179841766
